,Date,avg_gpm,Min,Max,avg_clean,gpd,ac-ft,cum_ac_ft
289,10/18/18,58.2986111111111,56,60,58.2986111111111,83950,0.257633089970569,65.0729014181328
290,10/19/18,57.3888888888889,56,65,57.3888888888889,82640,0.253612847589849,65.3265142657227
291,10/20/18,57.2083333333333,55,86,57.2083333333333,82380,0.252814936888332,65.579329202611
292,10/21/18,59.1111111111111,57,62,59.1111111111111,85120,0.261223688127396,65.8405528907384
293,10/22/18,61.3819444444444,59,76,61.3819444444444,88390,0.271258949642628,66.1118118403811
294,10/23/18,61.1666666666667,59,63,61.1666666666667,88080,0.270307594575435,66.3821194349565
295,10/24/18,60,57,67,60,86400,0.26515186388871,66.6472712988452
296,10/25/18,58.6041666666667,56,82,58.6041666666667,84390,0.258983400388521,66.9062546992337
297,10/26/18,57.0138888888889,55,59,57.0138888888889,82100,0.251955648440545,67.1582103476742
298,10/27/18,56.3611111111111,55,58,56.3611111111111,81160,0.24907089436583,67.4072812420401
299,10/28/18,55.5486111111111,54,57,55.5486111111111,79990,0.245480296209003,67.6527615382491
300,10/29/18,53.9791666666667,51,56,53.9791666666667,77730,0.238544610880433,67.8913061491295
301,10/30/18,52.3819444444444,50,57,52.3819444444444,75430,0.231486170059322,68.1227923191888
302,10/31/18,52,50,54,52,74880,0.229798282036882,68.3525906012257
303,11/1/18,52.9375,51,54,52.9375,76230,0.233941279910143,68.5865318811359
304,11/2/18,52.4652777777778,50,66,52.4652777777778,75550,0.231854436536945,68.8183863176728
305,11/3/18,51.4097222222222,49,73,51.4097222222222,74030,0.227189727820384,69.0455760454932
306,11/4/18,50.5902777777778,49,54,50.5902777777778,72850,0.223568440790423,69.2691444862836
307,11/5/18,49.9097222222222,48,52,49.9097222222222,71870,0.220560931223166,69.4897054175068
308,11/6/18,51.0972222222222,48,62,51.0972222222222,73580,0.225808728529297,69.7155141460361
309,11/7/18,50.5347222222222,49,52,50.5347222222222,72770,0.22332292980534,69.9388370758414
310,11/8/18,49.4722222222222,47,52,49.4722222222222,71240,0.218627532215645,70.1574646080571
311,11/9/18,48.7222222222222,47,64,48.7222222222222,70160,0.215313133917036,70.3727777419741
312,11/10/18,48.4305555555556,46,50,48.4305555555556,69740,0.214024201245354,70.5868019432195
313,11/11/18,48.0625,46,50,48.0625,69210,0.212397690969185,70.7991996341886
314,11/12/18,47.4930555555556,45,49,47.4930555555556,68390,0.209881203372093,71.0090808375607
315,11/13/18,47.0555555555556,45,66,47.0555555555556,67760,0.207947804364572,71.2170286419253
316,11/14/18,46.6944444444444,45,48,46.6944444444444,67240,0.206351982961538,71.4233806248868
317,11/15/18,31.7916666666667,11,52,31.7916666666667,45780,0.140493661213254,71.5638742861001
318,11/16/18,15.4513888888889,15,16,15.4513888888889,22250,0.0682827427259698,71.6321570288261
319,11/17/18,15.1944444444444,14,16,15.1944444444444,21880,0.067147254419965,71.699304283246
320,11/18/18,15.0625,14,21,15.0625,21690,0.0665641658303949,71.7658684490764
321,11/19/18,14.7152777777778,14,16,14.7152777777778,21190,0.0650297221736315,71.8308981712501
322,11/20/18,14.5069444444444,14,15,14.5069444444444,20890,0.0641090559795735,71.8950072272296
323,11/21/18,14.5138888888889,13,21,14.5138888888889,20900,0.0641397448527087,71.9591469720823
324,11/22/18,14.2430555555556,13,16,14.2430555555556,20510,0.0629428788004333,72.0220898508828
325,11/23/18,14.7083333333333,13,42,14.7083333333333,21180,0.0649990333004962,72.0870888841833
326,11/24/18,14.375,13,20,14.375,20700,0.0635259673900034,72.1506148515733
327,11/25/18,14.0694444444444,13,35,14.0694444444444,20260,0.0621756569720516,72.2127905085453
328,11/26/18,13.8541666666667,13,15,13.8541666666667,19950,0.0612243019048584,72.2740148104502
329,11/27/18,14.6319444444444,12,30,14.6319444444444,21070,0.0646614556960083,72.3386762661462
330,11/28/18,14.8958333333333,14,16,14.8958333333333,21450,0.0658276328751485,72.4045038990213
331,11/29/18,15.0555555555556,14,24,15.0555555555556,21680,0.0665334769572596,72.4710373759786
332,11/30/18,6.14583333333333,0,16,6.14583333333333,8850,0.0271596527247116,72.4981970287033
333,12/1/18,0,0,0,0,0,0,72.4981970287033
334,12/2/18,0.0208333333333333,0,3,,0,0,72.4981970287033
335,12/3/18,0,0,0,,0,0,72.4981970287033
336,12/4/18,0,0,0,,0,0,72.4981970287033
337,12/5/18,0.375,0,33,,0,0,72.4981970287033
338,12/6/18,0,0,0,,0,0,72.4981970287033
339,12/7/18,0,0,0,,0,0,72.4981970287033
340,12/8/18,0.0625,0,9,,0,0,72.4981970287033
341,12/9/18,0.25,0,36,,0,0,72.4981970287033
342,12/10/18,0.513888888888889,0,28,,0,0,72.4981970287033
343,12/11/18,0.4375,0,63,,0,0,72.4981970287033
344,12/12/18,0.0416666666666667,0,6,,0,0,72.4981970287033
345,12/13/18,0.104166666666667,0,15,,0,0,72.4981970287033
346,12/14/18,0.104166666666667,0,9,,0,0,72.4981970287033
347,12/15/18,0.319444444444444,0,27,,0,0,72.4981970287033
348,12/16/18,0.611111111111111,0,34,,0,0,72.4981970287033
349,12/17/18,0,0,0,,0,0,72.4981970287033
350,12/18/18,0.0416666666666667,0,6,,0,0,72.4981970287033
351,12/19/18,0.208333333333333,0,18,,0,0,72.4981970287033
352,12/20/18,0,0,0,,0,0,72.4981970287033
353,12/21/18,0.0416666666666667,0,6,,0,0,72.4981970287033
354,12/22/18,0.270833333333333,0,30,,0,0,72.4981970287033
355,12/23/18,0,0,0,,0,0,72.4981970287033
356,12/24/18,0.590277777777778,0,42,,0,0,72.4981970287033
357,12/25/18,0.458333333333333,0,60,,0,0,72.4981970287033
358,12/26/18,0.0416666666666667,0,6,,0,0,72.4981970287033
359,12/27/18,0,0,0,,0,0,72.4981970287033
360,12/28/18,0,0,0,,0,0,72.4981970287033
361,12/29/18,0,0,0,,0,0,72.4981970287033
362,12/30/18,0.0902777777777778,0,7,,0,0,72.4981970287033
363,12/31/18,0.0416666666666667,0,6,,0,0,72.4981970287033
364,1/1/19,0,0,0,,0,0,72.4981970287033
365,1/2/19,0,0,0,,0,0,72.4981970287033
366,1/3/19,0,0,0,,0,0,72.4981970287033
367,Grand Total,44.9397313370447,0,452,44.9397313370447,64713.2131253444,72.4981970287033,
