Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_4 12 (Okisutch),Length 128,0:00:04:09.395/60000,249.006577,54.47636,23.573555,14.437475,0.049598,0.73365,72.624107,
Subsample_4 12 (Okisutch),Drift_Forage 126,0:00:04:12.395/60000,252.006577,55.73877,23.339039,15.073475,0.041082,0.565437,72.57309,
Subsample_5 13 (Omykiss),Drift_Forage 130,0:00:06:33.395/60000,393.006592,-13.837792,-1.006487,9.660345,0.028346,0.13836,59.305729,
Subsample_4 12 (Okisutch),Length 128,0:00:04:09.395/60000,249.006577,47.172737,24.086058,12.630464,0.058019,0.136181,72.320778,
Subsample_4 12 (Okisutch),Length 127,0:00:04:00.395/60000,240.006577,37.825573,23.983746,5.956691,0.125784,1.984703,73.291512,
Subsample_5 13 (Omykiss),Length 132,0:00:06:36.395/60000,396.006592,-10.332106,2.016682,9.404191,0.00334,0.852979,60.655418,
Subsample_5 13 (Omykiss),Length 132,0:00:06:36.395/60000,396.006592,-14.321056,-1.259934,11.748371,0.033582,0.483297,58.907555,
Subsample_5 13 (Omykiss),Drift_Forage 133,0:00:06:39.395/60000,399.006592,-15.962735,-3.887674,13.263625,0.051677,2.319447,57.146667,
Subsample_5 13 (Omykiss),Drift_Forage 136,0:00:06:42.395/60000,402.006592,-16.12569,-6.092714,12.528745,0.076922,1.721854,55.459599,
Subsample_5 13 (Omykiss),Drift_Forage 138,0:00:06:48.395/60000,408.006592,-17.681627,-0.726423,11.69351,0.032242,0.944444,60.945194,
Subsample_5 13 (Omykiss),Drift_Forage 137,0:00:06:45.395/60000,405.006592,-15.656535,2.435479,12.857511,0.020246,0.581026,62.591038,
Subsample_5 13 (Omykiss),Drift_Forage 139,0:00:06:51.395/60000,411.006592,-19.163017,-1.424518,11.742021,0.03777,0.971844,61.0788,
Subsample_5 13 (Omykiss),Drift_Forage 141,0:00:06:57.395/60000,417.006592,-20.182798,-3.250389,15.464918,0.037134,2.705901,59.578579,
Subsample_5 13 (Omykiss),Drift_Forage 140,0:00:06:54.395/60000,414.006592,-20.169086,-2.457029,13.524416,0.041534,2.070548,60.467396,
Subsample_5 13 (Omykiss),Length 143,0:00:06:57.395/60000,417.006592,-20.165064,-3.30766,15.510542,0.037017,2.745274,59.516396,
Subsample_5 13 (Omykiss),Length 143,0:00:06:57.395/60000,417.006592,-16.6036,0.594735,13.512071,0.029373,1.079728,61.308105,
Subsample_5 13 (Omykiss),Drift_Forage 142,0:00:07:00.395/60000,420.006592,-19.554798,-3.947975,16.862404,0.030542,3.557593,58.525658,
Subsample_5 13 (Omykiss),Length 144,0:00:07:00.395/60000,420.006592,-19.540291,-3.921409,16.92712,0.030195,3.473664,58.534863,
Subsample_5 14 (Omykiss),Search_Forage 146,0:00:06:33.395/60000,393.006592,22.077633,5.740751,18.265329,0.051701,0.015444,56.054115,
Subsample_5 13 (Omykiss),Length 144,0:00:07:00.395/60000,420.006592,-16.376324,0.310441,15.346034,0.034959,1.383318,60.734909,
Subsample_5 14 (Omykiss),Search_Forage 145,0:00:06:30.395/60000,390.006592,1.951003,20.231867,21.684807,0.070562,1.21294,73.967308,
Subsample_5 14 (Omykiss),Search_Forage 147,0:00:06:35.395/60000,395.006592,40.360245,4.308479,21.480764,0.086793,1.060704,51.347309,
Subsample_5 14 (Omykiss),Length 148,0:00:06:34.25642/60000,394.427368,34.216885,3.205863,20.493631,0.081854,1.00747,50.664852,
Subsample_5 14 (Omykiss),Length 148,0:00:06:34.25642/60000,394.427368,29.388245,2.942548,19.749451,0.071534,0.52769,51.262474,
Subsample_5 14 (Omykiss),Length 149,0:00:06:34.42659/60000,394.710999,32.41227,4.047843,20.529945,0.084875,0.910537,51.737473,
Subsample_5 14 (Omykiss),Length 149,0:00:06:34.42659/60000,394.710999,37.386368,4.237943,20.91433,0.086875,0.464686,51.387413,
Subsample_5 15 (Omykiss),Drift_Forage 150,0:00:06:30.395/60000,390.006592,15.452,21.480284,25.551214,0.022727,2.52053,72.803055,
Subsample_5 15 (Omykiss),Drift_Forage 151,0:00:06:33.395/60000,393.006592,14.94146,19.187593,26.014481,0.024946,2.110232,70.842918,
